[I 2025-09-12 23:16:57,848] Trial 85 finished with value: 0.770324469097296 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 4}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:18:08,363] Trial 86 finished with value: 0.821427960740662 and parameters: {'hid_dim': 128, 'theta': 1.6, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:19:34,216] Trial 87 finished with value: 0.8519248258064287 and parameters: {'hid_dim': 256, 'theta': 1.2, 'alpha': 0.01, 'beta': 0.001, 'lr': 0.1, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:21:00,269] Trial 88 finished with value: 0.8529361035656025 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.05, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:21:33,871] Trial 89 finished with value: 0.7996774714759849 and parameters: {'hid_dim': 256, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.01, 'win_size': 2}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:23:00,309] Trial 90 finished with value: 0.8270071124882239 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.2, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:24:29,641] Trial 91 finished with value: 0.8540678108597142 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:25:59,122] Trial 92 finished with value: 0.8542306052543195 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:27:27,649] Trial 93 finished with value: 0.8540673961555171 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:28:53,604] Trial 94 finished with value: 0.8539036874558269 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:30:56,074] Trial 95 finished with value: 0.8494404904040985 and parameters: {'hid_dim': 512, 'theta': 0.6, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:32:13,802] Trial 96 finished with value: 0.8493572057730926 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 8}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:33:39,263] Trial 97 finished with value: 0.8536559187446101 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:34:22,703] Trial 98 finished with value: 0.8174359939150082 and parameters: {'hid_dim': 128, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.3, 'win_size': 4}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:35:48,465] Trial 99 finished with value: 0.8542050324572203 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.005, 'beta': 0.001, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:37:14,392] Trial 100 finished with value: 0.8540502744202892 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.005, 'beta': 0.001, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:38:40,137] Trial 101 finished with value: 0.8540877805425416 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.005, 'beta': 0.001, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:40:06,069] Trial 102 finished with value: 0.8535953617460758 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.005, 'beta': 0.001, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:41:31,729] Trial 103 finished with value: 0.8539933058456729 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.005, 'beta': 0.001, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:42:57,207] Trial 104 finished with value: 0.8542030360433434 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.005, 'beta': 0.001, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:44:23,140] Trial 105 finished with value: 0.8520149860352916 and parameters: {'hid_dim': 256, 'theta': 1.2, 'alpha': 0.005, 'beta': 0.001, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:44:56,668] Trial 106 finished with value: 0.8119754642908712 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.005, 'beta': 0.001, 'lr': 0.05, 'win_size': 2}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:46:22,483] Trial 107 finished with value: 0.8539578930540552 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.005, 'beta': 0.001, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
